%time,field
1580981364674807071,301.0236
1580981365173235893,301.0236
1580981365669332027,301.0246
1580981366165683984,301.0246
1580981366673536062,301.0256
1580981367168868064,301.0256
1580981367667402029,301.0266
1580981368177879095,301.0266
1580981368674648046,301.0279
1580981369166701078,301.0279
1580981369678519010,301.0289
1580981370173682928,301.0289
1580981370671144008,301.03
1580981371167172908,301.03
1580981371680660963,301.031
1580981372172005891,301.031
1580981372669830083,301.032
1580981373166074991,301.032
1580981373677098989,301.0331
1580981374173080921,301.0331
1580981374665318012,301.0342
1580981375179471969,301.0342
1580981375676505088,301.0354
1580981376171025991,301.0354
1580981376665260076,301.0366
1580981377174904108,301.0366
1580981377671200037,301.0377
1580981378168656110,301.0377
1580981378665126085,301.0389
1580981379175074100,301.0389
1580981379668936967,301.0401
1580981380165317058,301.0401
1580981380679363965,301.0413
1580981381173180103,301.0413
1580981381670886039,301.0425
1580981382178431987,301.0425
1580981382675213098,301.0438
1580981383172775030,301.0438
1580981383668113946,301.0451
1580981384179020881,301.0451
1580981384671684980,301.0463
1580981385168462038,301.0463
1580981385682830095,301.0475
1580981386175970077,301.0475
1580981386674666881,301.0486
1580981387165940046,301.0486
1580981387677107095,301.0498
1580981388175331115,301.0498
1580981388670877933,301.0509
1580981389181993007,301.0509
1580981389675050020,301.0521
1580981390170207023,301.0521
1580981390670022964,301.0532
1580981391161667108,301.0532
1580981391677262067,301.0543
1580981392169063091,301.0543
1580981392664030075,301.0553
1580981393178215026,301.0553
1580981393675081968,301.0563
1580981394171545028,301.0563
1580981394679394006,301.0572
1580981395173927068,301.0572
1580981395673837900,301.0582
1580981396165499925,301.0582
1580981396676726102,301.0591
1580981397173760890,301.0591
1580981397667094945,301.0599
1580981398179215908,301.0599
1580981398676692008,301.0608
1580981399171108961,301.0608
1580981399667992115,301.0616
1580981400177067041,301.0616
1580981400673491001,301.0622
1580981401171749114,301.0622
1580981401664426088,301.0627
1580981402177640914,301.0627
1580981402670341968,301.063
1580981403166596889,301.063
1580981403678925991,301.0632
1580981404174031019,301.0632
1580981404672909021,301.0633
1580981405180186986,301.0633
1580981405675375938,301.0632
1580981406174520015,301.0632
1580981406667191028,301.0631
1580981407183341026,301.0631
1580981407673202037,301.0629
1580981408169043064,301.0629
1580981408683136940,301.0626
1580981409177795886,301.0626
1580981409674998044,301.0622
1580981410167438983,301.0622
1580981410678314924,301.0618
1580981411174999952,301.0618
1580981411671467065,301.0614
1580981412169914007,301.0614
1580981412678638935,301.0609
1580981413172722101,301.0609
1580981413670504093,301.0604
1580981414183557987,301.0604
1580981414675210952,301.0599
1580981415174907922,301.0599
1580981415665854930,301.0594
1580981416179938077,301.0594
1580981416677618026,301.0588
1580981417171943902,301.0588
1580981417666913032,301.0583
1580981418175677061,301.0583
1580981418673847913,301.0579
1580981419170196056,301.0579
1580981419680263042,301.0574
1580981420175853967,301.0574
1580981420669044971,301.0569
1580981421180797100,301.0569
1580981421678280115,301.0565
1580981422174144029,301.0565
1580981422670454978,301.056
1580981423178706884,301.056
1580981423674855947,301.0556
1580981424172698020,301.0556
1580981424665518045,301.0551
1580981425181499958,301.0551
1580981425672485113,301.0546
1580981426169291019,301.0546
1580981426683022975,301.054
1580981427175497055,301.054
1580981427675189971,301.0535
1580981428182588100,301.0535
1580981428677752971,301.0529
1580981429176800012,301.0529
1580981429671214103,301.0523
1580981430183820962,301.0523
1580981430675249099,301.0516
1580981431172166109,301.0516
1580981431687186956,301.051
1580981432179249048,301.051
