%time,field
1580981392663994073,4811.8429
1580981393178179979,4811.8429
1580981393675029039,4811.8422
1580981394171566963,4811.8422
1580981394679362058,4811.8414
1580981395173847913,4811.8414
1580981395673793077,4811.8407
1580981396165494918,4811.8407
1580981396676726102,4811.84
1580981397173727989,4811.84
1580981397666996955,4811.8394
1580981398179193019,4811.8394
1580981398676665067,4811.8386
1580981399171103954,4811.8386
1580981399667916059,4811.8379
1580981400177037954,4811.8379
1580981400673491001,4811.8372
1580981401171749114,4811.8372
1580981401664310932,4811.8365
1580981402177640914,4811.8365
1580981402670315980,4811.8358
1580981403166575908,4811.8358
1580981403678817033,4811.835
1580981404174031019,4811.835
1580981404672908067,4811.834
1580981405180041074,4811.834
1580981405675307035,4811.833
1580981406174514055,4811.833
1580981406667162895,4811.832
1580981407183341979,4811.832
1580981407673191070,4811.831
1580981408169063091,4811.831
1580981408683027982,4811.8299
1580981409177794933,4811.8299
1580981409674909114,4811.8289
1580981410167438983,4811.8289
1580981410678261995,4811.8279
1580981411175013065,4811.8279
1580981411671396017,4811.8268
1580981412169851064,4811.8268
1580981412678591012,4811.8257
1580981413172641038,4811.8257
1580981413670491933,4811.8246
1580981414183557987,4811.8246
1580981414675184965,4811.8235
1580981415174889087,4811.8235
1580981415665777921,4811.8225
1580981416179881095,4811.8225
1580981416677597045,4811.8216
1580981417171905040,4811.8216
1580981417666873931,4811.8207
1580981418175656080,4811.8207
1580981418673773050,4811.8198
1580981419170106887,4811.8198
1580981419680140972,4811.819
1580981420175834894,4811.819
1580981420669044971,4811.8182
1580981421180627107,4811.8182
1580981421678194999,4811.8174
1580981422174068927,4811.8174
1580981422670382022,4811.8166
1580981423178621053,4811.8166
1580981423674798011,4811.8159
1580981424172679901,4811.8159
1580981424665493011,4811.8151
1580981425181315898,4811.8151
1580981425672441959,4811.8142
1580981426169218063,4811.8142
1580981426682925939,4811.8134
1580981427175482988,4811.8134
1580981427675168991,4811.8126
1580981428182569980,4811.8126
1580981428677753925,4811.8117
1580981429176739931,4811.8117
1580981429671186923,4811.8108
1580981430183794021,4811.8108
1580981430675230979,4811.8098
1580981431172151088,4811.8098
1580981431687182903,4811.8089
1580981432179215908,4811.8089
1580981432675991058,4811.8079
1580981433169399976,4811.8079
1580981433681360960,4811.807
1580981434180196046,4811.807
1580981434671649932,4811.8062
1580981435170387983,4811.8062
1580981435681243896,4811.8053
1580981436174354076,4811.8053
1580981436672952890,4811.8045
1580981437183795928,4811.8045
1580981437679768085,4811.8039
1580981438175159931,4811.8039
1580981438667889118,4811.8035
1580981439181139945,4811.8035
1580981439677464962,4811.8034
1580981440172660112,4811.8034
1580981440666882038,4811.8035
1580981441176908969,4811.8035
1580981441674204111,4811.8038
1580981442170466899,4811.8038
1580981442664632081,4811.8045
1580981443179805040,4811.8045
1580981443671032905,4811.8054
1580981444166881084,4811.8054
1580981444680581092,4811.8063
1580981445173350095,4811.8063
1580981445671925067,4811.8073
1580981446164333105,4811.8073
1580981446676357984,4811.8085
1580981447175522089,4811.8085
1580981447667035102,4811.8098
1580981448180923938,4811.8098
1580981448673790931,4811.8112
1580981449171098947,4811.8112
1580981449683201074,4811.8126
1580981450177278995,4811.8126
1580981450676189899,4811.814
1580981451167192935,4811.814
1580981451679440975,4811.8154
1580981452178848028,4811.8154
1580981452673552036,4811.8169
1580981453170429944,4811.8169
1580981453677175045,4811.8184
1580981454174177885,4811.8184
1580981454671613931,4811.8198
1580981455180376052,4811.8198
1580981455678527116,4811.8211
1580981456171189069,4811.8211
1580981456666059017,4811.8225
1580981457180205106,4811.8225
1580981457675606966,4811.8238
1580981458173429012,4811.8238
1580981458680450916,4811.8252
1580981459176281929,4811.8252
1580981459676007032,4811.8265
1580981460183106899,4811.8265
1580981460681459903,4811.8279
1580981461174233913,4811.8279
1580981461669914007,4811.8292
1580981462185038089,4811.8292
1580981462676938056,4811.8305
1580981463175472021,4811.8305
1580981463667280912,4811.8318
1580981464178812026,4811.8318
1580981464678380966,4811.8331
1580981465171792030,4811.8331
1580981465682248115,4811.8344
1580981466177723884,4811.8344
1580981466672516107,4811.8358
1580981467172668933,4811.8358
1580981467679804086,4811.8372
1580981468178004980,4811.8372
1580981468670929908,4811.8385
1580981469167113065,4811.8385
1580981469681555986,4811.8398
1580981470174942016,4811.8398
1580981470673969984,4811.8411
1580981471182080984,4811.8411
1580981471676035881,4811.8424
1580981472174597978,4811.8424
1580981472667828083,4811.8436
1580981473180630922,4811.8436
1580981473674048900,4811.8449
1580981474169949054,4811.8449
1580981474681900024,4811.8462
1580981475177975893,4811.8462
1580981475676194906,4811.8475
1580981476167972087,4811.8475
1580981476678628921,4811.8488
1580981477178345918,4811.8488
1580981477671305894,4811.8501
1580981478185868978,4811.8501
1580981478677241086,4811.8513
1580981479174060106,4811.8513
1580981479687968015,4811.8526
1580981480182039976,4811.8526
1580981480679300069,4811.8539
1580981481170423984,4811.8539
1580981481682060956,4811.8552
1580981482180428028,4811.8552
1580981482675523042,4811.8565
1580981483172966957,4811.8565
1580981483680223941,4811.8578
1580981484176692008,4811.8578
1580981484676086902,4811.859
1580981485185673952,4811.859
1580981485681188106,4811.8603
1580981486173856019,4811.8603
1580981486686651945,4811.8616
1580981487182519912,4811.8616
1580981487680663108,4811.863
1580981488175375938,4811.863
1580981488683562040,4811.8642
1580981489181706905,4811.8642
1580981489677615880,4811.8655
1580981490171719074,4811.8655
1580981490685841083,4811.8668
1580981491176794052,4811.8668
1580981491672693014,4811.8681
1580981492188057899,4811.8681
1580981492681726932,4811.8694
1580981493178183078,4811.8694
1580981493670908927,4811.8707
1580981494182147026,4811.8707
1580981494681451082,4811.8719
1580981495173441886,4811.8719
1580981495687338113,4811.8732
1580981496180588960,4811.8732
1580981496675956010,4811.8745
1580981497175342082,4811.8745
1580981497685390949,4811.8758
1580981498182296991,4811.8758
1580981498673552036,4811.8771
1580981499169528961,4811.8771
1580981499684449911,4811.8783
1580981500180362939,4811.8783
1580981500676736116,4811.8796
1580981501184663057,4811.8796
1580981501679070949,4811.8809
1580981502176966905,4811.8809
1580981502690026998,4811.8821
1580981503182071924,4811.8821
1580981503677969932,4811.8834
1580981504172689914,4811.8834
1580981504686923027,4811.8846
1580981505180685043,4811.8846
1580981505679382085,4811.8858
